Normalised City Pair,Departure Code,Arrival Code,Departure_lat,Departure_lon,Arrival_lat,Arrival_lon
"Singapore, Singapore - Sydney, Australia",SIN,SYD,1.3,103.98,-33.92,151.23
"Lima, Peru - Santiago, Chile",LIM,SCL,-12,-77.11,-33.39,-70.79
"Cairo, Egypt - London, United Kingdom",LHR,CAI,51.5,-0.45,30.05,31.25
"Frankfurt, Germany - Singapore, Singapore",FRA,SIN,50.1,8.56,1.34,103.98
"Gothenburg, Sweden - London, United Kingdom",LHR,GOT,51.5,-0.45,59.56,16.49
"New York, United States Of America - Sydney, Australia",JFK,SYD,40.6,-73.79,-33.92,151.23
"New York, United States Of America - Tampa, United States Of America",TPA,LGA,28,-82.54,40.77,-73.88
"Johannesburg, South Africa - London, United Kingdom",LHR,JNB,51.5,-0.45,-26.13,28.23
"Houston, United States Of America - Paris, France",CDG,IAH,39,-77.45,29.98,-95.34
"Hong Kong, Hong Kong - San Francisco, United States Of America",SFO,HKG,37.6,-122.39,22.32,113.94
"Bombay, India - Delhi, India",BOM,DEL,19.1,72.86,28.66,77.26
"Los Angeles, United States Of America - Manila, Philippines",LAX,MNL,37.5,126.66,14.51,121.02
"Geneva, Switzerland - London, United Kingdom",GVA,LHR,46.2,6.11,51.47,-0.45
"Amsterdam, Netherlands - Johannesburg, South Africa",JNB,AMS,-26.1,28.23,52.31,4.75
"Hong Kong, Hong Kong - Taipei, Taiwan",HKG,TPE,22.3,113.94,25.08,121.24
"Fukuoka, Japan - Tokyo, Japan",HND,FUK,35.6,139.75,33.6,130.44
"Dubai, United Arab Emirates - Frankfurt, Germany",DXB,FRA,25.3,55.35,50.05,8.56
"New York, United States Of America - Toronto, Canada",YYZ,LGA,43.7,-79.61,40.77,-73.88
"Bogota, Colombia - Lima, Peru",BOG,LIM,4.7,-74.14,-12.02,-77.11
"Kuala Lumpur, Malaysia - Singapore, Singapore",SIN,KUL,1.3,103.98,2.76,101.71
"Dubai, United Arab Emirates - Nairobi, Kenya",NBO,DXB,-1.3,36.81,25.25,55.35
"Manchester, United Kingdom - Newark, United States Of America",MAN,EWR,53.4,0.1,40.69,-74.18
"Chicago, United States Of America - Kansas City, United States Of America",ORD,MCI,41.6,-98.93,39.3,-94.72
"Charlotte, United States Of America - Newark, United States Of America",CLT,EWR,35.2,-80.95,40.69,-74.18
"Bombay, India - Hong Kong, Hong Kong",HKG,BOM,22.3,113.94,19.09,72.86
"Singapore, Singapore - Tokyo, Japan",SIN,NRT,1.3,103.98,35.75,140.39
"London, United Kingdom - Newcastle, United Kingdom",NCL,LHR,55,-1.71,51.47,-0.45
"Moscow, Russia - Zurich, Switzerland",ZRH,DME,47.5,8.57,55.42,37.9
"London, United Kingdom - Raleigh/durham, United States Of America",RDU,LHR,35.9,-78.79,51.47,-0.45
"Miami, United States Of America - Rio De Janeiro, Brazil",MIA,GIG,33.4,-110.87,-22.81,-43.24
"Austin, United States Of America - London, United Kingdom",LHR,AUS,41.6,-98.93,30.2,-97.67
"Houston, United States Of America - Tokyo, Japan",NRT,IAH,35.8,140.39,29.98,-95.34
"Madrid, Spain - Paris, France",MAD,PAR,40.5,-3.58,49.01,2.54
"Dubai, United Arab Emirates - Newcastle, United Kingdom",DXB,NCL,25.3,55.35,55.04,-1.71
"New York, United States Of America - Seoul, Republic Of Korea",ICN,JFK,37.5,126.66,40.64,-73.79
"Philadelphia, United States Of America - Portland, United States Of America",PHL,PWM,45.1,-89.01,43.65,-70.31
"Dubai, United Arab Emirates - Paris, France",DXB,CDG,25.3,55.35,49.01,2.54
"Dar Es Salaam, United Rep. Of Tanzania - Dubai, United Arab Emirates",DAR,DXB,-6.9,39.2,25.25,55.35
"Chicago, United States Of America - Los Angeles, United States Of America",ORD,LAX,41.6,-98.93,34.05,-118.24
"Bombay, India - Tokyo, Japan",NRT,BOM,35.8,140.39,19.09,72.86
"Seoul, Republic Of Korea - Tokyo, Japan",HND,GMP,35.6,139.75,37.56,126.79
"Beijing, China - Singapore, Singapore",PEK,SIN,40.1,116.58,1.34,103.98
"Dublin, Republic Of Ireland - London, United Kingdom",DUB,LHR,53.3,-6.25,51.47,-0.45
"Bordeaux, France - Paris, France",ORY,BOD,48.7,2.37,41.73,8.88
"Newark, United States Of America - Portland, United States Of America",EWR,PDX,40.8,-111.89,45.59,-122.59
"Dublin, Republic Of Ireland - London, United Kingdom",DUB,LCY,53.3,-6.25,51.5,0.05
"Houston, United States Of America - Rio De Janeiro, Brazil",IAH,GIG,30,-95.34,-22.81,-43.24
"Edinburgh, United Kingdom - Newark, United States Of America",EDI,EWR,56,-3.34,40.69,-74.18
"Dublin, Republic Of Ireland - London, United Kingdom",LGW,DUB,51.2,-0.16,53.34,-6.25
"Philadelphia, United States Of America - Venice, Italy",PHL,VCE,51.5,-0.45,45.44,12.32
"Hamburg, Germany - Munich, Germany",MUC,HAM,48.3,11.77,53.64,10.01
"Newark, United States Of America - Vancouver, Canada",YVR,EWR,49.2,-123.17,40.69,-74.18
"Singapore, Singapore - Taipei, Taiwan",SIN,TPE,1.3,103.98,25.08,121.24
"London, United Kingdom - Zurich, Switzerland",LHR,ZRH,51.5,-0.45,47.45,8.57
"Helsinki, Finland - Stockholm, Sweden",ARN,HEL,60.7,15.85,60.31,24.97
"Glasgow, United Kingdom - Singapore, Singapore",SIN,GLA,51.5,-0.45,55.86,-4.43
"Singapore, Singapore - Zurich, Switzerland",SIN,ZRH,1.3,103.98,47.45,8.57
"Manila, Philippines - Singapore, Singapore",MNL,SIN,14.5,121.02,1.34,103.98
"New York, United States Of America - Toronto, Canada",JFK,YYZ,40.6,-73.79,43.68,-79.61
"Montreal, Canada - Toronto, Canada",YYZ,YUL,43.7,-79.61,45.46,-73.75
"Johannesburg, South Africa - Windhoek, Namibia",JNB,WDH,-26.1,28.23,-22.48,17.47
"Johannesburg, South Africa - Sao Paulo, Brazil",JNB,GRU,-26.1,28.23,-23.42,-46.48
"Dubai, United Arab Emirates - Dublin, Republic Of Ireland",DXB,DUB,25.3,55.35,53.34,-6.25
"London, United Kingdom - Stavanger, Norway",SVG,LHR,58.9,5.63,51.47,-0.45
"London, United Kingdom - St. Petersburg, Russia",LHR,LED,51.5,-0.45,59.77,30.33
"Amsterdam, Netherlands - Frankfurt, Germany",AMS,FRA,52.3,4.75,50.05,8.56
"Edinburgh, United Kingdom - London, United Kingdom",LHR,EDI,51.5,-0.45,55.96,-3.34
"Bucharest-otopeni, Romania - London, United Kingdom",OTP,LHR,44.6,26.07,51.47,-0.45
"Milwaukee, United States Of America - Newark, United States Of America",MKE,EWR,43,-87.91,40.69,-74.18
"Seoul, Republic Of Korea - Singapore, Singapore",SIN,ICN,1.3,103.98,37.45,126.66
"London, United Kingdom - New York, United States Of America",LHR,JFK,51.5,-0.45,40.64,-73.79
"Atlanta, United States Of America - Johannesburg, South Africa",ATL,JNB,42.9,-83.53,-26.13,28.23
"Dubai, United Arab Emirates - Mahe Island, Seychelles Islands",DXB,SEZ,25.3,55.35,-4.68,55.52
"Hong Kong, Hong Kong - Perth, Australia",HKG,PER,13.7,100.77,-31.94,115.97
"Newark, United States Of America - San Antonio, United States Of America",SAT,EWR,42.9,-83.53,40.69,-74.18
"Paris, France - Zurich, Switzerland",ZRH,CDG,47.5,8.57,49.01,2.54
"Beijing, China - Paris, France",CDG,PEK,49,2.54,40.07,116.58
"Frankfurt, Germany - Paris, France",FRA,CDG,50.1,8.56,49.01,2.54
"Chicago, United States Of America - Toronto, Canada",ORD,YYZ,41.6,-98.93,43.68,-79.61
"Los Angeles, United States Of America - Washington Dc, United States Of America",IAD,LAX,39,-77.45,34.05,-118.24
"London, United Kingdom - New York, United States Of America",LHR,JFK,51.5,-0.45,40.64,-73.79
"Amsterdam, Netherlands - New York, United States Of America",AMS,JFK,52.3,4.75,40.64,-73.79
"Beijing, China - Singapore, Singapore",PEK,SIN,40.1,116.58,1.34,103.98
"Cologne, Germany - London, United Kingdom",LHR,CGN,51.5,-0.45,50.88,7.11
"Bombay, India - Hong Kong, Hong Kong",BOM,HKG,19.1,72.86,22.32,113.94
"Doha, Qatar - Frankfurt, Germany",FRA,DOH,50.1,8.56,25.27,51.56
"Chicago, United States Of America - Philadelphia, United States Of America",PHL,ORD,45.1,-89.01,41.6,-98.93
"San Francisco, United States Of America - Santa Ana, United States Of America",SNA,SFO,37.4,-86.16,37.61,-122.39
"Edinburgh, United Kingdom - Madras, India",EDI,MAA,51.5,-0.45,13.05,80.23
"London, United Kingdom - Madrid, Spain",LHR,MAD,51.5,-0.45,40.46,-3.58
"Dublin, Republic Of Ireland - Philadelphia, United States Of America",PHL,DUB,45.1,-89.01,53.34,-6.25
"Barcelona, Spain - London, United Kingdom",LHR,BCN,51.5,-0.45,41.3,2.08
"Los Angeles, United States Of America - Oakland, United States Of America",OAK,LAX,40.2,-97.9,34.05,-118.24
"New York, United States Of America - Orlando-intl, United States Of America",LGA,MCO,40.8,-73.88,28.44,-81.31
"Seoul, Republic Of Korea - Singapore, Singapore",SIN,ICN,1.3,103.98,37.45,126.66
"London, United Kingdom - Mauritius, Mauritius",MRU,LHR,49,2.54,51.47,-0.45
"Hong Kong, Hong Kong - Taipei, Taiwan",TPE,HKG,25.1,121.24,22.32,113.94
"Berlin, Germany - London, United Kingdom",LHR,TXL,51.5,-0.45,52.55,13.29
"Melbourne, Australia - Sydney, Australia",SYD,MEL,-33.9,151.23,-37.67,144.85
"Melbourne, Australia - Singapore, Singapore",MEL,SIN,-37.7,144.85,1.34,103.98
"Milan, Italy - Naples, Italy",LIN,NAP,45.5,9.18,40.84,14.25
"Jakarta-soekarno, Indonesia - Singapore, Singapore",SIN,CGK,1.3,103.98,-6.13,106.66
"Mexico City, Mexico - Santiago, Chile",SCL,MEX,-33.4,-70.79,19.43,-99.16
"New York, United States Of America - Singapore, Singapore",JFK,SIN,40.6,-73.79,1.34,103.98
"London, United Kingdom - New York, United States Of America",LHR,JFK,51.5,-0.45,40.64,-73.79
"London, United Kingdom - Nice, France",LGW,NCE,51.2,-0.16,43.67,7.21
"Dubai, United Arab Emirates - Jeddah, Saudi Arabia",JED,DXB,21.7,39.15,25.25,55.35
"London, United Kingdom - Madrid, Spain",LTN,MAD,51.9,-0.37,40.46,-3.58
"Mombasa, Kenya - Nairobi, Kenya",NBO,MBA,-1.3,36.81,-4,39.72
"Baltimore, United States Of America - London, United Kingdom",BWI,LHR,39.2,-76.67,51.47,-0.45
"Lisbon, Portugal - London, United Kingdom",LGW,LIS,51.2,-0.16,38.77,-9.13
"New York, United States Of America - Osaka, Japan",JFK,ITM,35.8,140.39,34.79,135.44
"Kansas City, United States Of America - Newark, United States Of America",MCI,EWR,39.3,-94.72,40.69,-74.18
"Geneva, Switzerland - Singapore, Singapore",GVA,SIN,25.3,51.56,1.34,103.98
"Geneva, Switzerland - Zurich, Switzerland",GVA,ZRH,46.2,6.11,47.45,8.57
"Munich, Germany - San Francisco, United States Of America",MUC,SFO,48.3,11.77,37.61,-122.39
"Amsterdam, Netherlands - London, United Kingdom",AMS,LHR,52.3,4.75,51.47,-0.45
"Frankfurt, Germany - Geneva, Switzerland",GVA,FRA,46.2,6.11,50.05,8.56
"Miami, United States Of America - San Francisco, United States Of America",MIA,SFO,33.4,-110.87,37.61,-122.39
"Hong Kong, Hong Kong - London, United Kingdom",LHR,HKG,51.5,-0.45,22.32,113.94
"Edinburgh, United Kingdom - London, United Kingdom",LHR,EDI,51.5,-0.45,55.96,-3.34
"Milan, Italy - Paris, France",LIN,CDG,45.5,9.18,49.01,2.54
"Singapore, Singapore - Sydney, Australia",SYD,SIN,-33.9,151.23,1.34,103.98
"Karachi, Pakistan - London, United Kingdom",KHI,LGW,25.3,55.35,51.16,-0.16
"Sydney, Australia - Tokyo, Japan",NRT,SYD,35.8,140.39,-33.92,151.23
"Madrid, Spain - Milan, Italy",MXP,MAD,45.5,9.18,40.46,-3.58
"Dar Es Salaam, United Rep. Of Tanzania - Nairobi, Kenya",NBO,DAR,-1.3,36.81,-6.88,39.2
"Chicago, United States Of America - Hong Kong, Hong Kong",HKG,ORD,22.3,113.94,41.6,-98.93
"Dubai, United Arab Emirates - Jakarta-soekarno, Indonesia",CGK,DXB,-6.1,106.66,25.25,55.35
"New York, United States Of America - Tokyo, Japan",JFK,HND,40.6,-73.79,35.55,139.75
"Brisbane, Australia - Singapore, Singapore",SIN,BNE,1.3,103.98,-27.4,153.11
"Glasgow, United Kingdom - Manchester, United Kingdom",GLA,MAN,55.9,-4.43,53.37,0.1
"Montreal, Canada - Newark, United States Of America",EWR,YUL,40.7,-74.18,45.46,-73.75
"Miami, United States Of America - Tokyo, Japan",NRT,MIA,40.6,-73.79,33.4,-110.87
"Chicago, United States Of America - White Plains, United States Of America",ORD,HPN,41.6,-98.93,41.07,-73.7
"Cairo, Egypt - Nairobi, Kenya",CAI,NBO,30.1,31.25,-1.28,36.81
"New York, United States Of America - Portland, United States Of America",PDX,JFK,45.6,-122.59,40.64,-73.79
"Johannesburg, South Africa - Munich, Germany",JNB,MUC,-26.1,28.23,48.34,11.77
"Atlanta, United States Of America - Miami, United States Of America",MIA,ATL,33.4,-110.87,42.94,-83.53
"Bangalore, India - Singapore, Singapore",SIN,BLR,1.3,103.98,12.8,77.65
"Hong Kong, Hong Kong - Tokyo, Japan",NRT,HKG,35.8,140.39,22.32,113.94
"Newark, United States Of America - Oslo, Norway",EWR,OSL,40.7,-74.18,59.91,10.75
"Bombay, India - Madras, India",BOM,MAA,19.1,72.86,13.05,80.23
"Indianapolis, United States Of America - Newark, United States Of America",EWR,IND,40.7,-74.18,39.71,-86.3
"Delhi, India - Singapore, Singapore",SIN,DEL,1.3,103.98,28.66,77.26
"London, United Kingdom - Vilnius, Lithuania",VNO,LHR,55.6,12.64,51.47,-0.45
"Des Moines, United States Of America - Newark, United States Of America",DSM,EWR,41.5,-93.65,40.69,-74.18
"Amsterdam, Netherlands - Paris, France",CDG,AMS,49,2.54,52.31,4.75
"Beijing, China - Hong Kong, Hong Kong",HKG,PEK,22.3,113.94,40.07,116.58
"Geneva, Switzerland - London, United Kingdom",LCY,GVA,51.5,0.05,46.23,6.11
"Lima, Peru - London, United Kingdom",LIM,LCY,40.5,-3.58,51.5,0.05
"Jacksonville, United States Of America - New York, United States Of America",JAX,LGA,33.8,-85.76,40.77,-73.88
"Bangkok, Thailand - Singapore, Singapore",SIN,BKK,1.3,103.98,13.71,100.77
"Chicago, United States Of America - Tokyo, Japan",NRT,ORD,35.8,140.39,41.6,-98.93
"Edmonton, Canada - New York, United States Of America",YEG,LGA,44.9,-93.2,40.77,-73.88
"London, United Kingdom - Miami, United States Of America",LHR,MIA,51.5,-0.45,33.4,-110.87
"Cape Town, South Africa - New York, United States Of America",CPT,JFK,51.5,-0.45,40.64,-73.79
"Lima, Peru - Miami, United States Of America",MIA,LIM,33.4,-110.87,-12.02,-77.11
"Newark, United States Of America - Sydney, Australia",SYD,EWR,34.1,-118.24,40.69,-74.18
"Newark, United States Of America - Paris, France",EWR,ORY,40.7,-74.18,48.73,2.37
"Fort De France, Martinique - Paris, France",FDF,ORY,14.6,-61.01,48.73,2.37
"Madrid, Spain - Paris, France",ORY,MAD,48.7,2.37,40.46,-3.58
"Glasgow, United Kingdom - London, United Kingdom",GLA,LHR,55.9,-4.43,51.47,-0.45
"Delhi, India - Poona, India",DEL,PNQ,28.7,77.26,18.58,73.91
"Guernsey -channel Isl., United Kingdom - Isle Of Man, United Kingdom",IOM,GCI,51.2,-0.16,49.43,-2.6
"Barcelona, Spain - Madrid, Spain",MAD,BCN,40.5,-3.58,41.3,2.08
"San Francisco, United States Of America - Washington Dc, United States Of America",IAD,SFO,39,-77.45,37.61,-122.39
"Boston, United States Of America - New York, United States Of America",LGA,BOS,40.8,-73.88,42.21,-71
"Newark, United States Of America - St. Louis, United States Of America",STL,EWR,38.7,-90.36,40.69,-74.18
"Dubai, United Arab Emirates - Sao Paulo, Brazil",DXB,GRU,25.3,55.35,-23.42,-46.48
"Isle Of Man, United Kingdom - Liverpool, United Kingdom",IOM,LPL,54.1,-4.63,53.34,-2.85
"London, United Kingdom - Zagreb, Croatia",ZAG,LHR,45.7,16.06,51.47,-0.45
"Luxembourg, Luxembourg - New York, United States Of America",JFK,LUX,50.1,8.56,49.63,6.21
"La Coruna, Spain - Madrid, Spain",MAD,LCG,40.5,-3.58,43.3,-8.38
"Accra, Ghana - London, United Kingdom",LHR,ACC,51.5,-0.45,5.6,-0.17
"Cairo, Egypt - Nairobi, Kenya",CAI,NBO,30.1,31.25,-1.28,36.81
"Dubai, United Arab Emirates - Madrid, Spain",MAD,DXB,40.5,-3.58,25.25,55.35
"Austin, United States Of America - Houston, United States Of America",AUS,IAH,30.2,-97.67,29.98,-95.34
"Newark, United States Of America - Paris, France",CDG,EWR,49,2.54,40.69,-74.18
"Accra, Ghana - Nairobi, Kenya",ACC,NBO,5.6,-0.17,-1.28,36.81
"Dar Es Salaam, United Rep. Of Tanzania - Nairobi, Kenya",NBO,DAR,-1.3,36.81,-6.88,39.2
"Ft. Lauderdale, United States Of America - Newark, United States Of America",FLL,EWR,26.1,-80.13,40.69,-74.18
"Delhi, India - Dubai, United Arab Emirates",DXB,DEL,25.3,55.35,28.66,77.26
"London, United Kingdom - Munich, Germany",LCY,MUC,51.5,0.05,48.34,11.77
"Houston, United States Of America - Tulsa, United States Of America",TUL,IAH,34.2,-89.36,29.98,-95.34
"Dubai, United Arab Emirates - Muscat, Oman",DXB,MCT,25.3,55.35,23.59,58.29
"London, United Kingdom - Paris, France",LHR,ORY,51.5,-0.45,48.73,2.37
"Des Moines, United States Of America - New York, United States Of America",LGA,DSM,33.1,-88.31,41.53,-93.65
"Frankfurt, Germany - Seoul, Republic Of Korea",ICN,FRA,37.5,126.66,50.05,8.56
"Brisbane, Australia - Sydney, Australia",BNE,SYD,-27.4,153.11,-33.92,151.23
"Manchester, United Kingdom - Singapore, Singapore",SIN,MAN,1.3,103.98,53.37,0.1
"Dubai, United Arab Emirates - London, United Kingdom",DXB,LHR,25.3,55.35,51.47,-0.45
"Detroit, United States Of America - White Plains, United States Of America",HPN,DTW,41.1,-73.7,37.26,-107.75
"Accra, Ghana - Nairobi, Kenya",ACC,NBO,5.6,-0.17,-1.28,36.81
"Basel-Mulhouse-Freiburg, Switzerland - London, United Kingdom",LHR,BSL,51.5,-0.45,47.55,7.59
"Melbourne, Australia - Sydney, Australia",SYD,MEL,-33.9,151.23,-37.67,144.85
"Brisbane, Australia - Sydney, Australia",BNE,SYD,-27.4,153.11,-33.92,151.23
"London, United Kingdom - San Francisco, United States Of America",LHR,SFO,51.5,-0.45,37.61,-122.39
"Bombay, India - Singapore, Singapore",BOM,SIN,19.1,72.86,1.34,103.98
"Mombasa, Kenya - Nairobi, Kenya",NBO,MBA,-1.3,36.81,-4,39.72
"Johannesburg, South Africa - Maputo, Mozambique",JNB,MPM,-26.1,28.23,-25.92,32.57
"Melbourne, Australia - Singapore, Singapore",MEL,SIN,-37.7,144.85,1.34,103.98
"Edmonton, Canada - Toronto, Canada",YYZ,YEG,43.7,-79.61,53.31,-113.58
"Harare, Zimbabwe - Johannesburg, South Africa",JNB,HRE,-26.1,28.23,-17.92,31.1
"London, United Kingdom - Prague, Czech Republic",LHR,PRG,51.5,-0.45,50.08,14.43
"Dubai, United Arab Emirates - Los Angeles, United States Of America",DXB,LAX,25.3,55.35,34.05,-118.24
"Los Angeles, United States Of America - San Francisco, United States Of America",LAX,SFO,34.1,-118.24,37.61,-122.39
"Dallas, United States Of America - Philadelphia, United States Of America",PHL,DFW,45.1,-89.01,32.87,-97.04
"Kuala Lumpur, Malaysia - Singapore, Singapore",SIN,KUL,1.3,103.98,2.76,101.71
"Madras, India - Singapore, Singapore",MAA,SIN,13.1,80.23,1.34,103.98
"Gibraltar, Gibraltar - London, United Kingdom",GIB,LGW,36.1,-5.35,51.16,-0.16
"Los Angeles, United States Of America - Newark, United States Of America",EWR,LAX,40.7,-74.18,34.05,-118.24
"London, United Kingdom - Paris, France",CDG,LHR,49,2.54,51.47,-0.45
"Atlanta, United States Of America - Charlottesville, United States Of America",CHO,ATL,37.2,-88.81,42.94,-83.53
"Johannesburg, South Africa - Las Vegas, United States Of America",LAS,JNB,42.9,-83.53,-26.13,28.23
"London, United Kingdom - Perth, Australia",LHR,PER,1.3,103.98,-31.94,115.97
"Boston, United States Of America - Toronto Island, Canada",BOS,YTZ,42.2,-71,43.63,-79.4
"San Francisco, United States Of America - Tel Aviv-yafo, Israel",SFO,TLV,40.7,-74.18,32.01,34.89
"Milan, Italy - Paris, France",LIN,CDG,45.5,9.18,49.01,2.54
"Monte Carlo, Monaco - Nice, France",NCE,MCM,43.7,7.21,43.73,7.42
"London, United Kingdom - Milan, Italy",LIN,LGW,45.5,9.18,51.16,-0.16
"Newark, United States Of America - Omaha, United States Of America",EWR,OMA,40.7,-74.18,31.73,-90.15
"Frankfurt, Germany - Milan, Italy",FRA,LIN,50.1,8.56,45.47,9.18
"San Francisco, United States Of America - Tokyo, Japan",SFO,NRT,37.6,-122.39,35.75,140.39
"London, United Kingdom - Paris, France",CDG,LHR,49,2.54,51.47,-0.45
"Detroit, United States Of America - London, United Kingdom",LHR,DTW,51.5,-0.45,37.26,-107.75
"Dubai, United Arab Emirates - Johannesburg, South Africa",DXB,JNB,25.3,55.35,-26.13,28.23
"Seoul, Republic Of Korea - Singapore, Singapore",ICN,SIN,37.5,126.66,1.34,103.98
"Houston, United States Of America - Oklahoma City, United States Of America",OKC,IAH,35.4,-97.6,29.98,-95.34
"Beijing, China - London, United Kingdom",PEK,LHR,40.1,116.58,51.47,-0.45
"Halifax, Canada - Toronto, Canada",YYZ,YHZ,43.7,-79.61,44.89,-63.52
"Atlanta, United States Of America - Charlottesville, United States Of America",CHO,ATL,35.2,-80.95,42.94,-83.53
"Edinburgh, United Kingdom - London, United Kingdom",LGW,EDI,51.2,-0.16,55.96,-3.34
"Ho Chi Minh, Viet Nam - Singapore, Singapore",SIN,SGN,1.3,103.98,10.82,106.66
"Honolulu - Oahu, United States Of America - Tokyo, Japan",HNL,NRT,21.3,-157.92,35.75,140.39
"Honolulu - Oahu, United States Of America - Kona - Hawaii, United States Of America",KOA,HNL,19.7,-156.04,21.34,-157.92
"Madrid, Spain - Mexico City, Mexico",MEX,MAD,19.4,-99.16,40.46,-3.58
"Minneapolis, United States Of America - Philadelphia, United States Of America",MSP,PHL,44.9,-93.2,45.05,-89.01
"Chicago, United States Of America - Washington Dc, United States Of America",DCA,ORD,38.9,-77.04,41.6,-98.93
"Bombay, India - Singapore, Singapore",SIN,BOM,1.3,103.98,19.09,72.86
"Chicago, United States Of America - New York, United States Of America",ORD,LGA,41.6,-98.93,40.77,-73.88
"Hong Kong, Hong Kong - Las Vegas, United States Of America",HKG,LAS,34.1,-118.24,32.02,-87.96
"London, United Kingdom - Madras, India",MAA,LHR,13.1,80.23,51.47,-0.45
"Brisbane, Australia - Sydney, Australia",SYD,BNE,-33.9,151.23,-27.4,153.11
"Kona - Hawaii, United States Of America - Los Angeles, United States Of America",LAX,KOA,34.1,-118.24,19.73,-156.04
"Calgary, Canada - London, United Kingdom",LHR,YYC,51.5,-0.45,51.13,-114.01
"San Francisco, United States Of America - Tokyo, Japan",HND,SFO,35.6,139.75,37.61,-122.39
"Glasgow, United Kingdom - London, United Kingdom",GLA,LTN,55.9,-4.43,51.88,-0.37
"Abu Dhabi, United Arab Emirates - Casablanca-mohamed V., Morocco",CMN,AUH,33.4,-7.58,24.42,54.64
"Amsterdam, Netherlands - Newark, United States Of America",EWR,AMS,40.7,-74.18,52.31,4.75
"Boston, United States Of America - Sao Paulo, Brazil",GRU,BOS,40.6,-73.79,42.21,-71
"Frankfurt, Germany - Milan, Italy",FRA,LIN,50.1,8.56,45.47,9.18
"Hong Kong, Hong Kong - Osaka, Japan",HKG,KIX,22.3,113.94,34.43,135.24
"London, United Kingdom - Portland, United States Of America",LHR,PDX,39.9,-75.59,45.59,-122.59
"Barcelona, Spain - San Francisco, United States Of America",BCN,SFO,50.1,8.56,37.61,-122.39
"Amsterdam, Netherlands - Singapore, Singapore",SIN,AMS,1.3,103.98,52.31,4.75
"Geneva, Switzerland - Nice, France",NCE,GVA,43.7,7.21,46.23,6.11
"Boston, United States Of America - New York, United States Of America",LGA,BOS,40.8,-73.88,42.21,-71
"Geneva, Switzerland - Riyadh, Saudi Arabia",GVA,RUH,50.1,8.56,24.94,46.71
"Dublin, Republic Of Ireland - London, United Kingdom",LHR,DUB,51.5,-0.45,53.34,-6.25
"Johannesburg, South Africa - Upington, South Africa",UTN,JNB,-28.4,21.26,-26.13,28.23
"Brisbane, Australia - Sydney, Australia",BNE,SYD,-27.4,153.11,-33.92,151.23
"Birmingham, United Kingdom - Bombay, India",BHX,BOM,25.3,55.35,19.09,72.86
"Kuala Lumpur, Malaysia - Singapore, Singapore",SIN,KUL,1.3,103.98,2.76,101.71
"San Diego, United States Of America - San Francisco, United States Of America",SAN,SFO,32.7,-102.18,37.61,-122.39
"Dar Es Salaam, United Rep. Of Tanzania - Dubai, United Arab Emirates",DXB,DAR,25.3,55.35,-6.88,39.2
"Kiev-borispol, Ukraine - New York, United States Of America",JFK,KBP,40.6,-73.79,50.43,30.55
"Gaborone, Botswana - Nairobi, Kenya",GBE,NBO,-24.6,25.93,-1.28,36.81
"Johannesburg, South Africa - Pietersburg, South Africa",JNB,PTG,-26.1,28.23,-23.86,29.45
"Frankfurt, Germany - Newark, United States Of America",EWR,FRA,40.7,-74.18,50.05,8.56
"Hong Kong, Hong Kong - Melbourne, Australia",MEL,HKG,-37.7,144.85,22.32,113.94
"Amsterdam, Netherlands - Hong Kong, Hong Kong",HKG,AMS,22.3,113.94,52.31,4.75
"Hong Kong, Hong Kong - Tokyo, Japan",HND,HKG,35.6,139.75,22.32,113.94
"Frankfurt, Germany - London, United Kingdom",FRA,LCY,50.1,8.56,51.5,0.05
"Houston, United States Of America - Washington Dc, United States Of America",DCA,IAH,38.9,-77.04,29.98,-95.34
"Sydney, Australia - Tokyo, Japan",SYD,NRT,-33.9,151.23,35.75,140.39
"Boston, United States Of America - Chicago, United States Of America",BOS,ORD,42.2,-71,41.6,-98.93
"Houston, United States Of America - Sydney, Australia",IAH,SYD,34.1,-118.24,-33.92,151.23
"Biarrita, France - Paris, France",BIQ,ORY,43.5,-1.53,48.73,2.37
"Geneva, Switzerland - Paris, France",GVA,CDG,46.2,6.11,49.01,2.54
"Dusseldorf, Germany - New York, United States Of America",JFK,DUS,51.5,-0.45,51.28,6.78
"Los Angeles, United States Of America - Toronto, Canada",YYZ,LAX,43.7,-79.61,34.05,-118.24
"Chongqing, China - Hong Kong, Hong Kong",HKG,CKG,22.3,113.94,29.58,106.5
"Accra, Ghana - Dubai, United Arab Emirates",DXB,ACC,25.3,55.35,5.6,-0.17
"Lisbon, Portugal - Newark, United States Of America",LIS,EWR,38.8,-9.13,40.69,-74.18
"Hong Kong, Hong Kong - Los Angeles, United States Of America",LAX,HKG,34.1,-118.24,22.32,113.94
"Moscow, Russia - Paris, France",CDG,SVO,49,2.54,55.96,37.42
"Newark, United States Of America - West Palm Beach, United States Of America",EWR,PBI,40.7,-74.18,26.69,-80.09
"Sydney, Australia - Tokyo, Japan",NRT,SYD,35.8,140.39,-33.92,151.23
"Bombay, India - Johannesburg, South Africa",JNB,BOM,-26.1,28.23,19.09,72.86
"Shanghai, China - Singapore, Singapore",PVG,SIN,31.1,121.8,1.34,103.98
"New York, United States Of America - Sao Paulo, Brazil",GRU,JFK,-23.4,-46.48,40.64,-73.79
"New York, United States Of America - Turin, Italy",TRN,JFK,49,2.54,40.64,-73.79
