Normalised City Pair,Departure Code,Arrival Code,Departure_lat,Departure_lon,Arrival_lat,Arrival_lon,Distance
"Cairo, Egypt - Dubai, United Arab Emirates",CAI,DXB,30.1,31.25,25.25,55.35,2429.41
"Birmingham, United Kingdom - Dubai, United Arab Emirates",DXB,BHX,25.3,55.35,52.45,-1.73,5598.83
"Lisbon, Portugal - London, United Kingdom",LHR,LIS,51.5,-0.45,38.77,-9.13,1568.60
"Glasgow, United Kingdom - London, United Kingdom",LCY,GLA,51.5,0.05,55.86,-4.43,567.43
"Milan, Italy - Zurich, Switzerland",MXP,ZRH,45.5,9.18,47.45,8.57,221.87
"Denver, United States Of America - San Francisco, United States Of America",SFO,DEN,37.6,-122.39,39.77,-104.86,1538.45
"Chicago, United States Of America - Tokyo, Japan",NRT,ORD,35.8,140.39,41.6,-98.93,9507.02
"Seoul, Republic Of Korea - Tokyo, Japan",HND,GMP,35.6,139.75,37.56,126.79,1176.89
"Dubai, United Arab Emirates - Istanbul, Turkey",DXB,IST,25.3,55.35,41.04,28.99,2994.78
"Beijing, China - San Francisco, United States Of America",SFO,PEK,37.6,-122.39,40.07,116.58,9498.58
"Dubai, United Arab Emirates - Karachi, Pakistan",KHI,DXB,24.9,67.15,25.25,55.35,1189.03
"London, United Kingdom - Stockholm, Sweden",ARN,LHR,60.7,15.85,51.47,-0.45,1433.74
"Atlanta, United States Of America - London, United Kingdom",ATL,LHR,42.9,-83.53,51.47,-0.45,6008.51
"Chicago, United States Of America - Dallas, United States Of America",DFW,ORD,32.9,-97.04,41.6,-98.93,981.95
"Hong Kong, Hong Kong - Paris, France",CDG,HKG,49,2.54,22.32,113.94,9594.71
"Geneva, Switzerland - Nairobi, Kenya",GVA,NBO,47.5,8.57,-1.28,36.81,6078.60
"Hong Kong, Hong Kong - Singapore, Singapore",HKG,SIN,22.3,113.94,1.34,103.98,2568.21
"Amsterdam, Netherlands - Frankfurt, Germany",AMS,FRA,52.3,4.75,50.05,8.56,364.90
"Boston, United States Of America - Philadelphia, United States Of America",PHL,BOS,45.1,-89.01,42.21,-71,1481.19
"Geneva, Switzerland - Zurich, Switzerland",ZRH,GVA,47.5,8.57,46.23,6.11,234.40
"Glasgow, United Kingdom - London, United Kingdom",LHR,GLA,51.5,-0.45,55.86,-4.43,551.08
"Edinburgh, United Kingdom - Isle Of Man, United Kingdom",IOM,EDI,54.1,-4.63,55.96,-3.34,222.62
"London, United Kingdom - Milan, Italy",LIN,LHR,45.5,9.18,51.47,-0.45,970.61
"Chicago, United States Of America - Minneapolis, United States Of America",MSP,ORD,44.9,-93.2,41.6,-98.93,591.53
"Dubai, United Arab Emirates - Johannesburg, South Africa",DXB,JNB,25.3,55.35,-26.13,28.23,6418.69
"New York, United States Of America - Richmond, United States Of America",RIC,LGA,45.8,-94.22,40.77,-73.88,1733.60
"Milan, Italy - New York, United States Of America",JFK,LIN,51.5,-0.45,45.47,9.18,975.16
"London, United Kingdom - Singapore, Singapore",SIN,LHR,1.3,103.98,51.47,-0.45,10889.04
"Chicago, United States Of America - Des Moines, United States Of America",ORD,DSM,41.6,-98.93,41.53,-93.65,439.40
"Durban, South Africa - Port Elizabeth, South Africa",PLZ,DUR,-34,25.61,-29.96,30.95,674.88
"Newark, United States Of America - Tulsa, United States Of America",EWR,TUL,41.6,-98.93,34.23,-89.36,1172.09
"Geneva, Switzerland - Johannesburg, South Africa",GVA,JNB,47.5,8.57,-26.13,28.23,8423.23
"Cincinnati, United States Of America - Newark, United States Of America",EWR,CVG,40.7,-74.18,39.06,-84.66,912.32
"Johannesburg, South Africa - Mahe Island, Seychelles Islands",JNB,SEZ,-26.1,28.23,-4.68,55.52,3755.73
"Beijing, China - Shanghai, China",PEK,SHA,40.1,116.58,31.19,121.34,1079.93
"Melbourne, Australia - Singapore, Singapore",SIN,MEL,1.3,103.98,-37.67,144.85,6031.72
"Bombay, India - Delhi, India",DEL,BOM,28.7,77.26,19.09,72.86,1158.43
"Beijing, China - New York, United States Of America",PEK,JFK,40.1,116.58,40.64,-73.79,10979.15
"Cleveland, United States Of America - Newark, United States Of America",EWR,CLE,40.7,-74.18,45.46,-120.2,3724.20
"London, United Kingdom - Zurich, Switzerland",LHR,ZRH,51.5,-0.45,47.45,8.57,791.51
"Frankfurt, Germany - Munich, Germany",FRA,MUC,50.1,8.56,48.34,11.77,304.42
"Hong Kong, Hong Kong - Seoul, Republic Of Korea",ICN,HKG,37.5,126.66,22.32,113.94,2082.20
"Bombay, India - Madras, India",MAA,BOM,13.1,80.23,19.09,72.86,1031.23
"Frankfurt, Germany - Paris, France",FRA,CDG,50.1,8.56,49.01,2.54,450.83
"Hong Kong, Hong Kong - Seoul, Republic Of Korea",ICN,HKG,37.5,126.66,22.32,113.94,2082.20
"Hong Kong, Hong Kong - Manila, Philippines",HKG,MNL,22.3,113.94,14.51,121.02,1143.60
"Hong Kong, Hong Kong - Shanghai, China",PVG,HKG,31.1,121.8,22.32,113.94,1249.51
"George, South Africa - Johannesburg, South Africa",GRJ,JNB,-34,22.38,-26.13,28.23,1040.33
"Jakarta-soekarno, Indonesia - London, United Kingdom",LHR,CGK,22.3,113.94,-6.13,106.66,3260.04
"Johannesburg, South Africa - Kimberly, South Africa",JNB,KIM,-26.1,28.23,-28.79,24.77,454.00
"Delhi, India - London, United Kingdom",DEL,LHR,28.7,77.26,51.47,-0.45,6732.47
"Budapest, Hungary - London, United Kingdom",LHR,BUD,51.5,-0.45,47.45,19.22,1485.96
"Bombay, India - Glasgow, United Kingdom",BOM,GLA,51.5,-0.45,55.86,-4.43,551.08
"Amsterdam, Netherlands - Frankfurt, Germany",FRA,AMS,50.1,8.56,52.31,4.75,361.73
"Frankfurt, Germany - Paris, France",FRA,CDG,50.1,8.56,49.01,2.54,450.83
"London, United Kingdom - Muscat, Oman",MCT,LHR,23.6,58.29,51.47,-0.45,5834.25
"Atlanta, United States Of America - Philadelphia, United States Of America",ATL,PHL,42.9,-83.53,45.05,-89.01,499.43
"London, United Kingdom - Reykjavik-keflavik, Iceland",LHR,KEF,51.5,-0.45,63.99,-22.61,1893.80
"Madrid, Spain - New York, United States Of America",MAD,NYC,40.5,-3.58,40.71,-74.01,5775.68
"Lisbon, Portugal - Manchester, United Kingdom",MAN,LIS,53.4,0.1,38.77,-9.13,1772.75
"Singapore, Singapore - Taipei, Taiwan",SIN,TPE,1.3,103.98,25.08,121.24,3229.43
"Athens, Greece - New York, United States Of America",ATH,JFK,37.9,23.72,40.64,-73.79,7922.26
"Manila, Philippines - Philadelphia, United States Of America",PHL,MNL,37.3,-107.75,14.51,121.02,12328.12
"Milan, Italy - Paris, France",CDG,LIN,49,2.54,45.47,9.18,636.49
"Bombay, India - Poona, India",PNQ,BOM,18.6,73.91,19.09,72.86,123.23
"London, United Kingdom - Mahe Island, Seychelles Islands",SEZ,LHR,25.3,51.56,51.47,-0.45,5236.66
"London, United Kingdom - New York, United States Of America",NYC,LHR,40.7,-74.01,51.47,-0.45,5553.05
"Hong Kong, Hong Kong - Taipei, Taiwan",TPE,HKG,25.1,121.24,22.32,113.94,804.98
"Bombay, India - Hong Kong, Hong Kong",HKG,BOM,22.3,113.94,19.09,72.86,4276.51
"Philadelphia, United States Of America - San Diego, United States Of America",SAN,PHL,41.6,-98.93,45.05,-89.01,888.85
"Glasgow, United Kingdom - Newark, United States Of America",EWR,GLA,51.5,-0.45,55.86,-4.43,551.08
"Bombay, India - Newark, United States Of America",EWR,BOM,40.7,-74.18,19.09,72.86,12548.70
"East London, South Africa - Johannesburg, South Africa",ELS,JNB,-33,27.83,-26.13,28.23,765.10
"Kuala Lumpur, Malaysia - Singapore, Singapore",KUL,SIN,2.8,101.71,1.34,103.98,300.05
"London, United Kingdom - San Francisco, United States Of America",SFO,LHR,37.6,-122.39,51.47,-0.45,8621.54
"Lima, Peru - Newark, United States Of America",LIM,EWR,-12,-77.11,40.69,-74.18,5868.28
"Glasgow, United Kingdom - London, United Kingdom",GLA,STN,55.9,-4.43,51.89,0.26,541.42
"Accra, Ghana - Nairobi, Kenya",NBO,ACC,-1.3,36.81,5.6,-0.17,4178.71
"London, United Kingdom - Montreal, Canada",YUL,LHR,45.5,-73.75,51.47,-0.45,5215.16
"Dubai, United Arab Emirates - Sydney, Australia",SYD,DXB,-33.9,151.23,25.25,55.35,12051.38
"Lisbon, Portugal - Sao Paulo, Brazil",LIS,GRU,38.8,-9.13,-23.42,-46.48,7938.35
"Dubai, United Arab Emirates - Madras, India",DXB,MAA,25.3,55.35,13.05,80.23,2939.53
"Los Angeles, United States Of America - Tokyo, Japan",LAX,NRT,34.1,-118.24,35.75,140.39,8759.23
"Aberdeen, United Kingdom - London, United Kingdom",LHR,ABZ,51.5,-0.45,57.2,-2.2,644.00
"Frankfurt, Germany - Paris, France",CDG,FRA,49,2.54,50.05,8.56,449.91
"London, United Kingdom - Zurich, Switzerland",ZRH,LHR,47.5,8.57,51.47,-0.45,786.39
"Dubai, United Arab Emirates - Frankfurt, Germany",FRA,DXB,50.1,8.56,25.25,55.35,4846.70
"New York, United States Of America - Vancouver, Canada",YVR,JFK,49.2,-123.17,40.64,-73.79,3929.61
"Manchester, United Kingdom - Newark, United States Of America",EWR,MAN,40.7,-74.18,53.37,0.1,5535.65
"London, United Kingdom - Singapore, Singapore",LHR,SIN,51.5,-0.45,1.34,103.98,10884.81
"Madrid, Spain - San Francisco, United States Of America",MAD,SFO,51.5,-0.45,37.61,-122.39,8618.18
"Edinburgh, United Kingdom - Singapore, Singapore",EDI,SIN,51.5,-0.45,1.34,103.98,10884.81
"Las Vegas, United States Of America - London, United Kingdom",LAS,LGW,32,-87.96,51.16,-0.16,7155.30
"Chicago, United States Of America - Houston, United States Of America",ORD,IAH,41.6,-98.93,29.98,-95.34,1332.07
"Singapore, Singapore - Sydney, Australia",SIN,SYD,1.3,103.98,-33.92,151.23,6295.45
"Lima, Peru - Santiago, Chile",LIM,SCL,-12,-77.11,-33.39,-70.79,2464.40
"Cairo, Egypt - London, United Kingdom",LHR,CAI,51.5,-0.45,30.05,31.25,3531.49
"Frankfurt, Germany - Singapore, Singapore",FRA,SIN,50.1,8.56,1.34,103.98,10282.13
"Gothenburg, Sweden - London, United Kingdom",LHR,GOT,51.5,-0.45,59.56,16.49,1386.16
"New York, United States Of America - Sydney, Australia",JFK,SYD,40.6,-73.79,-33.92,151.23,16011.16
"New York, United States Of America - Tampa, United States Of America",TPA,LGA,28,-82.54,40.77,-73.88,1625.61
"Johannesburg, South Africa - London, United Kingdom",LHR,JNB,51.5,-0.45,-26.13,28.23,9078.82
"Houston, United States Of America - Paris, France",CDG,IAH,39,-77.45,29.98,-95.34,1917.26
"Hong Kong, Hong Kong - San Francisco, United States Of America",SFO,HKG,37.6,-122.39,22.32,113.94,11128.93
"Bombay, India - Delhi, India",BOM,DEL,19.1,72.86,28.66,77.26,1153.32
"Los Angeles, United States Of America - Manila, Philippines",LAX,MNL,37.5,126.66,14.51,121.02,2617.09
"Geneva, Switzerland - London, United Kingdom",GVA,LHR,46.2,6.11,51.47,-0.45,757.17
"Amsterdam, Netherlands - Johannesburg, South Africa",JNB,AMS,-26.1,28.23,52.31,4.75,9015.71
"Hong Kong, Hong Kong - Taipei, Taiwan",HKG,TPE,22.3,113.94,25.08,121.24,805.08
"Fukuoka, Japan - Tokyo, Japan",HND,FUK,35.6,139.75,33.6,130.44,880.53
"Dubai, United Arab Emirates - Frankfurt, Germany",DXB,FRA,25.3,55.35,50.05,8.56,4841.00
"New York, United States Of America - Toronto, Canada",YYZ,LGA,43.7,-79.61,40.77,-73.88,573.25
"Bogota, Colombia - Lima, Peru",BOG,LIM,4.7,-74.14,-12.02,-77.11,1888.49
"Kuala Lumpur, Malaysia - Singapore, Singapore",SIN,KUL,1.3,103.98,2.76,101.71,300.06
"Dubai, United Arab Emirates - Nairobi, Kenya",NBO,DXB,-1.3,36.81,25.25,55.35,3564.42
"Manchester, United Kingdom - Newark, United States Of America",MAN,EWR,53.4,0.1,40.69,-74.18,5535.41
"Chicago, United States Of America - Kansas City, United States Of America",ORD,MCI,41.6,-98.93,39.3,-94.72,438.57
"Charlotte, United States Of America - Newark, United States Of America",CLT,EWR,35.2,-80.95,40.69,-74.18,851.22
"Bombay, India - Hong Kong, Hong Kong",HKG,BOM,22.3,113.94,19.09,72.86,4276.51
"Singapore, Singapore - Tokyo, Japan",SIN,NRT,1.3,103.98,35.75,140.39,5363.66
"London, United Kingdom - Newcastle, United Kingdom",NCL,LHR,55,-1.71,51.47,-0.45,401.47
"Moscow, Russia - Zurich, Switzerland",ZRH,DME,47.5,8.57,55.42,37.9,2194.19
"London, United Kingdom - Raleigh/durham, United States Of America",RDU,LHR,35.9,-78.79,51.47,-0.45,6217.16
"Miami, United States Of America - Rio De Janeiro, Brazil",MIA,GIG,33.4,-110.87,-22.81,-43.24,9503.35
"Austin, United States Of America - London, United Kingdom",LHR,AUS,41.6,-98.93,30.2,-97.67,1273.01
"Houston, United States Of America - Tokyo, Japan",NRT,IAH,35.8,140.39,29.98,-95.34,10669.82
"Madrid, Spain - Paris, France",MAD,PAR,40.5,-3.58,49.01,2.54,1061.97
"Dubai, United Arab Emirates - Newcastle, United Kingdom",DXB,NCL,25.3,55.35,55.04,-1.71,5651.08
"New York, United States Of America - Seoul, Republic Of Korea",ICN,JFK,37.5,126.66,40.64,-73.79,11083.38
"Philadelphia, United States Of America - Portland, United States Of America",PHL,PWM,45.1,-89.01,43.65,-70.31,1492.03
"Dubai, United Arab Emirates - Paris, France",DXB,CDG,25.3,55.35,49.01,2.54,5236.05
"Dar Es Salaam, United Rep. Of Tanzania - Dubai, United Arab Emirates",DAR,DXB,-6.9,39.2,25.25,55.35,3980.16
"Chicago, United States Of America - Los Angeles, United States Of America",ORD,LAX,41.6,-98.93,34.05,-118.24,1887.14
"Bombay, India - Tokyo, Japan",NRT,BOM,35.8,140.39,19.09,72.86,6788.86
"Seoul, Republic Of Korea - Tokyo, Japan",HND,GMP,35.6,139.75,37.56,126.79,1176.89
"Beijing, China - Singapore, Singapore",PEK,SIN,40.1,116.58,1.34,103.98,4495.31
"Dublin, Republic Of Ireland - London, United Kingdom",DUB,LHR,53.3,-6.25,51.47,-0.45,443.06
"Bordeaux, France - Paris, France",ORY,BOD,48.7,2.37,41.73,8.88,927.23
"Newark, United States Of America - Portland, United States Of America",EWR,PDX,40.8,-111.89,45.59,-122.59,1016.86
"Dublin, Republic Of Ireland - London, United Kingdom",DUB,LCY,53.3,-6.25,51.5,0.05,471.88
"Houston, United States Of America - Rio De Janeiro, Brazil",IAH,GIG,30,-95.34,-22.81,-43.24,8091.69
"Edinburgh, United Kingdom - Newark, United States Of America",EDI,EWR,56,-3.34,40.69,-74.18,5247.92
"Dublin, Republic Of Ireland - London, United Kingdom",LGW,DUB,51.2,-0.16,53.34,-6.25,477.76
"Philadelphia, United States Of America - Venice, Italy",PHL,VCE,51.5,-0.45,45.44,12.32,1155.46
"Hamburg, Germany - Munich, Germany",MUC,HAM,48.3,11.77,53.64,10.01,606.56
"Newark, United States Of America - Vancouver, Canada",YVR,EWR,49.2,-123.17,40.69,-74.18,3898.52
"Singapore, Singapore - Taipei, Taiwan",SIN,TPE,1.3,103.98,25.08,121.24,3229.43
"London, United Kingdom - Zurich, Switzerland",LHR,ZRH,51.5,-0.45,47.45,8.57,791.51
"Helsinki, Finland - Stockholm, Sweden",ARN,HEL,60.7,15.85,60.31,24.97,500.90
"Glasgow, United Kingdom - Singapore, Singapore",SIN,GLA,51.5,-0.45,55.86,-4.43,551.08
"Singapore, Singapore - Zurich, Switzerland",SIN,ZRH,1.3,103.98,47.45,8.57,10310.17
"Manila, Philippines - Singapore, Singapore",MNL,SIN,14.5,121.02,1.34,103.98,2376.88
"New York, United States Of America - Toronto, Canada",JFK,YYZ,40.6,-73.79,43.68,-79.61,589.48
"Montreal, Canada - Toronto, Canada",YYZ,YUL,43.7,-79.61,45.46,-73.75,503.68
"Johannesburg, South Africa - Windhoek, Namibia",JNB,WDH,-26.1,28.23,-22.48,17.47,1162.26
"Johannesburg, South Africa - Sao Paulo, Brazil",JNB,GRU,-26.1,28.23,-23.42,-46.48,7442.22
"Dubai, United Arab Emirates - Dublin, Republic Of Ireland",DXB,DUB,25.3,55.35,53.34,-6.25,5912.94
"London, United Kingdom - Stavanger, Norway",SVG,LHR,58.9,5.63,51.47,-0.45,911.28
"London, United Kingdom - St. Petersburg, Russia",LHR,LED,51.5,-0.45,59.77,30.33,2114.59
"Amsterdam, Netherlands - Frankfurt, Germany",AMS,FRA,52.3,4.75,50.05,8.56,364.90
"Edinburgh, United Kingdom - London, United Kingdom",LHR,EDI,51.5,-0.45,55.96,-3.34,531.15
"Bucharest-otopeni, Romania - London, United Kingdom",OTP,LHR,44.6,26.07,51.47,-0.45,2100.90
"Milwaukee, United States Of America - Newark, United States Of America",MKE,EWR,43,-87.91,40.69,-74.18,1164.86
"Seoul, Republic Of Korea - Singapore, Singapore",SIN,ICN,1.3,103.98,37.45,126.66,4643.27
"London, United Kingdom - New York, United States Of America",LHR,JFK,51.5,-0.45,40.64,-73.79,5541.70
"Atlanta, United States Of America - Johannesburg, South Africa",ATL,JNB,42.9,-83.53,-26.13,28.23,13673.00
"Dubai, United Arab Emirates - Mahe Island, Seychelles Islands",DXB,SEZ,25.3,55.35,-4.68,55.52,3334.61
"Hong Kong, Hong Kong - Perth, Australia",HKG,PER,13.7,100.77,-31.94,115.97,5328.64
"Newark, United States Of America - San Antonio, United States Of America",SAT,EWR,42.9,-83.53,40.69,-74.18,812.84
"Paris, France - Zurich, Switzerland",ZRH,CDG,47.5,8.57,49.01,2.54,476.93
"Beijing, China - Paris, France",CDG,PEK,49,2.54,40.07,116.58,8193.17
"Frankfurt, Germany - Paris, France",FRA,CDG,50.1,8.56,49.01,2.54,450.83
"Chicago, United States Of America - Toronto, Canada",ORD,YYZ,41.6,-98.93,43.68,-79.61,1593.89
"Los Angeles, United States Of America - Washington Dc, United States Of America",IAD,LAX,39,-77.45,34.05,-118.24,3656.38
"London, United Kingdom - New York, United States Of America",LHR,JFK,51.5,-0.45,40.64,-73.79,5541.70
"Amsterdam, Netherlands - New York, United States Of America",AMS,JFK,52.3,4.75,40.64,-73.79,5849.31
"Beijing, China - Singapore, Singapore",PEK,SIN,40.1,116.58,1.34,103.98,4495.31
"Cologne, Germany - London, United Kingdom",LHR,CGN,51.5,-0.45,50.88,7.11,531.26
"Bombay, India - Hong Kong, Hong Kong",BOM,HKG,19.1,72.86,22.32,113.94,4276.16
"Doha, Qatar - Frankfurt, Germany",FRA,DOH,50.1,8.56,25.27,51.56,4589.19
"Chicago, United States Of America - Philadelphia, United States Of America",PHL,ORD,45.1,-89.01,41.6,-98.93,890.95
"San Francisco, United States Of America - Santa Ana, United States Of America",SNA,SFO,37.4,-86.16,37.61,-122.39,3176.65
"Edinburgh, United Kingdom - Madras, India",EDI,MAA,51.5,-0.45,13.05,80.23,8235.46
"London, United Kingdom - Madrid, Spain",LHR,MAD,51.5,-0.45,40.46,-3.58,1251.23
"Dublin, Republic Of Ireland - Philadelphia, United States Of America",PHL,DUB,45.1,-89.01,53.34,-6.25,5737.72
"Barcelona, Spain - London, United Kingdom",LHR,BCN,51.5,-0.45,41.3,2.08,1150.80
"Los Angeles, United States Of America - Oakland, United States Of America",OAK,LAX,40.2,-97.9,34.05,-118.24,1923.70
"New York, United States Of America - Orlando-intl, United States Of America",LGA,MCO,40.8,-73.88,28.44,-81.31,1532.28
"Seoul, Republic Of Korea - Singapore, Singapore",SIN,ICN,1.3,103.98,37.45,126.66,4643.27
"London, United Kingdom - Mauritius, Mauritius",MRU,LHR,49,2.54,51.47,-0.45,347.40
"Hong Kong, Hong Kong - Taipei, Taiwan",TPE,HKG,25.1,121.24,22.32,113.94,804.98
"Berlin, Germany - London, United Kingdom",LHR,TXL,51.5,-0.45,52.55,13.29,946.11
"Melbourne, Australia - Sydney, Australia",SYD,MEL,-33.9,151.23,-37.67,144.85,711.89
"Melbourne, Australia - Singapore, Singapore",MEL,SIN,-37.7,144.85,1.34,103.98,6037.12
"Milan, Italy - Naples, Italy",LIN,NAP,45.5,9.18,40.84,14.25,661.37
"Jakarta-soekarno, Indonesia - Singapore, Singapore",SIN,CGK,1.3,103.98,-6.13,106.66,878.37
"Mexico City, Mexico - Santiago, Chile",SCL,MEX,-33.4,-70.79,19.43,-99.16,6602.52
"New York, United States Of America - Singapore, Singapore",JFK,SIN,40.6,-73.79,1.34,103.98,15350.42
"London, United Kingdom - New York, United States Of America",LHR,JFK,51.5,-0.45,40.64,-73.79,5541.70
"London, United Kingdom - Nice, France",LGW,NCE,51.2,-0.16,43.67,7.21,1003.33
"Dubai, United Arab Emirates - Jeddah, Saudi Arabia",JED,DXB,21.7,39.15,25.25,55.35,1697.99
"London, United Kingdom - Madrid, Spain",LTN,MAD,51.9,-0.37,40.46,-3.58,1295.88
"Mombasa, Kenya - Nairobi, Kenya",NBO,MBA,-1.3,36.81,-4,39.72,441.25
"Baltimore, United States Of America - London, United Kingdom",BWI,LHR,39.2,-76.67,51.47,-0.45,5834.17
"Lisbon, Portugal - London, United Kingdom",LGW,LIS,51.2,-0.16,38.77,-9.13,1549.53
"New York, United States Of America - Osaka, Japan",JFK,ITM,35.8,140.39,34.79,135.44,463.14
"Kansas City, United States Of America - Newark, United States Of America",MCI,EWR,39.3,-94.72,40.69,-74.18,1753.02
"Geneva, Switzerland - Singapore, Singapore",GVA,SIN,25.3,51.56,1.34,103.98,6213.12
"Geneva, Switzerland - Zurich, Switzerland",GVA,ZRH,46.2,6.11,47.45,8.57,233.18
"Munich, Germany - San Francisco, United States Of America",MUC,SFO,48.3,11.77,37.61,-122.39,9445.44
"Amsterdam, Netherlands - London, United Kingdom",AMS,LHR,52.3,4.75,51.47,-0.45,368.65
"Frankfurt, Germany - Geneva, Switzerland",GVA,FRA,46.2,6.11,50.05,8.56,465.19
"Miami, United States Of America - San Francisco, United States Of America",MIA,SFO,33.4,-110.87,37.61,-122.39,1142.28
"Hong Kong, Hong Kong - London, United Kingdom",LHR,HKG,51.5,-0.45,22.32,113.94,9631.51
"Edinburgh, United Kingdom - London, United Kingdom",LHR,EDI,51.5,-0.45,55.96,-3.34,531.15
"Milan, Italy - Paris, France",LIN,CDG,45.5,9.18,49.01,2.54,634.97
"Singapore, Singapore - Sydney, Australia",SYD,SIN,-33.9,151.23,1.34,103.98,6297.43
"Karachi, Pakistan - London, United Kingdom",KHI,LGW,25.3,55.35,51.16,-0.16,5467.99
"Sydney, Australia - Tokyo, Japan",NRT,SYD,35.8,140.39,-33.92,151.23,7836.10
"Madrid, Spain - Milan, Italy",MXP,MAD,45.5,9.18,40.46,-3.58,1178.03
"Dar Es Salaam, United Rep. Of Tanzania - Nairobi, Kenya",NBO,DAR,-1.3,36.81,-6.88,39.2,674.87
"Chicago, United States Of America - Hong Kong, Hong Kong",HKG,ORD,22.3,113.94,41.6,-98.93,12147.98
"Dubai, United Arab Emirates - Jakarta-soekarno, Indonesia",CGK,DXB,-6.1,106.66,25.25,55.35,6548.87
"New York, United States Of America - Tokyo, Japan",JFK,HND,40.6,-73.79,35.55,139.75,10883.14
"Brisbane, Australia - Singapore, Singapore",SIN,BNE,1.3,103.98,-27.4,153.11,6142.53
"Glasgow, United Kingdom - Manchester, United Kingdom",GLA,MAN,55.9,-4.43,53.37,0.1,405.10
"Montreal, Canada - Newark, United States Of America",EWR,YUL,40.7,-74.18,45.46,-73.75,530.59
"Miami, United States Of America - Tokyo, Japan",NRT,MIA,40.6,-73.79,33.4,-110.87,3363.25
"Chicago, United States Of America - White Plains, United States Of America",ORD,HPN,41.6,-98.93,41.07,-73.7,2100.40
"Cairo, Egypt - Nairobi, Kenya",CAI,NBO,30.1,31.25,-1.28,36.81,3539.77
"New York, United States Of America - Portland, United States Of America",PDX,JFK,45.6,-122.59,40.64,-73.79,3938.29
"Johannesburg, South Africa - Munich, Germany",JNB,MUC,-26.1,28.23,48.34,11.77,8440.96
"Atlanta, United States Of America - Miami, United States Of America",MIA,ATL,33.4,-110.87,42.94,-83.53,2600.34
"Bangalore, India - Singapore, Singapore",SIN,BLR,1.3,103.98,12.8,77.65,3170.40
"Hong Kong, Hong Kong - Tokyo, Japan",NRT,HKG,35.8,140.39,22.32,113.94,2962.05
"Newark, United States Of America - Oslo, Norway",EWR,OSL,40.7,-74.18,59.91,10.75,5926.88
"Bombay, India - Madras, India",BOM,MAA,19.1,72.86,13.05,80.23,1035.61
"Indianapolis, United States Of America - Newark, United States Of America",EWR,IND,40.7,-74.18,39.71,-86.3,1034.60
"Delhi, India - Singapore, Singapore",SIN,DEL,1.3,103.98,28.66,77.26,4159.40
"London, United Kingdom - Vilnius, Lithuania",VNO,LHR,55.6,12.64,51.47,-0.45,977.54
"Des Moines, United States Of America - Newark, United States Of America",DSM,EWR,41.5,-93.65,40.69,-74.18,1631.06
"Amsterdam, Netherlands - Paris, France",CDG,AMS,49,2.54,52.31,4.75,399.74
"Beijing, China - Hong Kong, Hong Kong",HKG,PEK,22.3,113.94,40.07,116.58,1992.12
"Geneva, Switzerland - London, United Kingdom",LCY,GVA,51.5,0.05,46.23,6.11,734.44
"Lima, Peru - London, United Kingdom",LIM,LCY,40.5,-3.58,51.5,0.05,1254.81
"Jacksonville, United States Of America - New York, United States Of America",JAX,LGA,33.8,-85.76,40.77,-73.88,1304.26
"Bangkok, Thailand - Singapore, Singapore",SIN,BKK,1.3,103.98,13.71,100.77,1424.80
"Chicago, United States Of America - Tokyo, Japan",NRT,ORD,35.8,140.39,41.6,-98.93,9507.02
"Edmonton, Canada - New York, United States Of America",YEG,LGA,44.9,-93.2,40.77,-73.88,1636.90
"London, United Kingdom - Miami, United States Of America",LHR,MIA,51.5,-0.45,33.4,-110.87,8403.47
"Cape Town, South Africa - New York, United States Of America",CPT,JFK,51.5,-0.45,40.64,-73.79,5541.70
"Lima, Peru - Miami, United States Of America",MIA,LIM,33.4,-110.87,-12.02,-77.11,6190.00
"Newark, United States Of America - Sydney, Australia",SYD,EWR,34.1,-118.24,40.69,-74.18,3919.90
"Newark, United States Of America - Paris, France",EWR,ORY,40.7,-74.18,48.73,2.37,5858.02
"Fort De France, Martinique - Paris, France",FDF,ORY,14.6,-61.01,48.73,2.37,6852.69
"Madrid, Spain - Paris, France",ORY,MAD,48.7,2.37,40.46,-3.58,1029.84
"Glasgow, United Kingdom - London, United Kingdom",GLA,LHR,55.9,-4.43,51.47,-0.45,557.92
"Delhi, India - Poona, India",DEL,PNQ,28.7,77.26,18.58,73.91,1176.02
"Guernsey -channel Isl., United Kingdom - Isle Of Man, United Kingdom",IOM,GCI,51.2,-0.16,49.43,-2.6,262.25
"Barcelona, Spain - Madrid, Spain",MAD,BCN,40.5,-3.58,41.3,2.08,483.99
"San Francisco, United States Of America - Washington Dc, United States Of America",IAD,SFO,39,-77.45,37.61,-122.39,3885.22
"Boston, United States Of America - New York, United States Of America",LGA,BOS,40.8,-73.88,42.21,-71,286.58
"Newark, United States Of America - St. Louis, United States Of America",STL,EWR,38.7,-90.36,40.69,-74.18,1400.25
"Dubai, United Arab Emirates - Sao Paulo, Brazil",DXB,GRU,25.3,55.35,-23.42,-46.48,12220.76
"Isle Of Man, United Kingdom - Liverpool, United Kingdom",IOM,LPL,54.1,-4.63,53.34,-2.85,144.46
"London, United Kingdom - Zagreb, Croatia",ZAG,LHR,45.7,16.06,51.47,-0.45,1369.56
"Luxembourg, Luxembourg - New York, United States Of America",JFK,LUX,50.1,8.56,49.63,6.21,176.40
"La Coruna, Spain - Madrid, Spain",MAD,LCG,40.5,-3.58,43.3,-8.38,504.73
